Tumort_content(%),germline_cnLOH,germline_LOH_Del,germline_Hetero,somatic_LOH_4_copies,somatic_LOH_3_copies,somatic_cnLOH,somatic_LOH_Del,somatic_Hetero
0 ,50 ,50 ,50 ,0 ,0 ,0 ,0 ,0 
10 ,55 ,53 ,50 ,18 ,14 ,10 ,5 ,5 
20 ,60 ,56 ,50 ,33 ,27 ,20 ,11 ,10 
30 ,65 ,59 ,50 ,46 ,39 ,30 ,18 ,15 
40 ,70 ,63 ,50 ,57 ,50 ,40 ,25 ,20 
50 ,75 ,67 ,50 ,67 ,60 ,50 ,33 ,25 
60 ,80 ,71 ,50 ,75 ,69 ,60 ,43 ,30 
70 ,85 ,77 ,50 ,82 ,78 ,70 ,54 ,35 
80 ,90 ,83 ,50 ,89 ,86 ,80 ,67 ,40 
90 ,95 ,91 ,50 ,95 ,93 ,90 ,82 ,45 
100 ,100 ,100 ,50 ,100 ,100 ,100 ,100 ,50 
